word,part_of_speech,frequency,similarity,synonym,syn_frequency,syn_sim,author,age,book,year,sentence,modified,sentence_type
choppy,adjective,8.13e-07,0.9867096963176673,3.09e-05,,0.8528815930504289,John Updike,28,"Rabbit, Run",1960,"walks like a trooper, with choppy stubborn steps. They'd walk along","walks like a trooper, with rough stubborn steps. They'd walk along",Metaphor?
incompetent,adjective,4.47e-06,0.9800433892420842,4.07e-05,,0.8228795059067037,John Updike,28,"Rabbit, Run",1960,slyly and round-about about how incompetent Janice is. It ruined him,slyly and round-about about how unable Janice is. It ruined him,Metaphor?
sickened,verb,5.37e-07,1.0000000000000002,7.59e-05,,0.9385145405402425,John Updike,28,"Rabbit, Run",1960,of him and he feels sickened by the intricacy. Janice calls,of him and he feels sickened by the intricacy. Janice calls,Metaphor?
intricacy,noun,2.14e-07,0.9931643249550414,1.05e-05,,0.9394668745968753,John Updike,28,"Rabbit, Run",1960,"he feels sickened by the intricacy. Janice calls from the kitchen,","he feels sickened by the complexities. Janice calls from the kitchen,",Metaphor?
freezes,verb,1.95e-06,0.9496003908748059,1.93e-05,,0.7732228295786878,John Updike,28,"Rabbit, Run",1960,"everything is the same. Rabbit freezes, standing looking at his faint","everything is the same. Rabbit holds patterns, standing looking at his faint",Metaphor?
disgust,noun,4.07e-06,0.968682461322267,2.69e-05,,0.8617866389523104,John Updike,28,"Rabbit, Run",1960,trap. It seems certain. In disgust he goes out. Outdoors it,trap. It seems certain. In horror he goes out. Outdoors it,Metaphor?
exhale,verb,1.29e-06,0.9935811800321555,1.81e-05,,0.8872541167492084,John Updike,28,"Rabbit, Run",1960,and cool. The Norwegian maples exhale the smell of their sticky,and cool. The Norwegian maples breathe out the smell of their sticky,Metaphor?
downhill,adverb,4.57e-06,0.9759116511169657,1.12e-05,,0.8459289083959096,John Updike,28,"Rabbit, Run",1960,backs of caves. He walks downhill. The day is gathering itself,backs of caves. He walks falling. The day is gathering itself,Metaphor?
spikes,noun,3.39e-06,0.9764763038784754,1.38e-05,,0.8339293884915291,John Updike,28,"Rabbit, Run",1960,"shoulders until the ladder of spikes came to your hands, to","shoulders until the ladder of sticks came to your hands, to",Metaphor?
spikes,noun,3.39e-06,0.9746571162465376,1.38e-05,,0.8339293884915291,John Updike,28,"Rabbit, Run",1960,"fall, to let the hard spikes in your palms go and","fall, to let the hard sticks in your palms go and",Metaphor?
rubbed,verb,3.72e-06,0.9844795037527041,8.32e-05,,0.8155975847373181,John Updike,28,"Rabbit, Run",1960,"hands felt at the top, rubbed full of splinters from getting","hands felt at the top, wearing full of splinters from getting",Metaphor?
splinters,noun,6.17e-07,0.9461887656754717,1.62e-05,,0.8103846727661189,John Updike,28,"Rabbit, Run",1960,"the top, rubbed full of splinters from getting up to where","the top, rubbed full of chips from getting up to where",Metaphor?
spikes,noun,3.39e-06,0.9604044882390307,1.38e-05,,0.8339293884915291,John Updike,28,"Rabbit, Run",1960,getting up to where the spikes began. Listening to the wires,getting up to where the sticks began. Listening to the wires,Metaphor?
crowns,noun,2.88e-06,0.9861050427249407,4.68e-05,,0.8336241720922553,John Updike,28,"Rabbit, Run",1960,strike into and through the crowns of the breathing maples. At,strike into and through the heads of the breathing maples. At,Metaphor?
ribbons,noun,2.29e-06,0.9731241208776241,2.4e-05,,0.8062147483129978,John Updike,28,"Rabbit, Run",1960,side of its course with ribbons of green slime waving and,side of its course with lists of green slime waving and,Metaphor?
slime,noun,2.4e-06,0.9756706892516125,1.35e-05,,0.8728802639568809,John Updike,28,"Rabbit, Run",1960,course with ribbons of green slime waving and waiting to slip,course with ribbons of green mud waving and waiting to slip,Metaphor?
dunk,verb,3.47e-06,0.98226873310205,1.12e-05,,0.8537638326214884,John Updike,28,"Rabbit, Run",1960,slip under your feet and dunk you if you dared walk,slip under your feet and dip you if you dared walk,Metaphor?
dared,verb,3.31e-06,0.9721267043728123,1.23e-05,,0.8357129072027231,John Updike,28,"Rabbit, Run",1960,and dunk you if you dared walk on them. He can,and dunk you if you challenged walk on them. He can,Metaphor?
curving,verb,1.15e-06,0.9639478523787263,4.34e-05,,0.8176582510042903,John Updike,28,"Rabbit, Run",1960,"Street, a narrow gravel alley curving past the blank back side","Street, a narrow gravel alley fell off past the blank back side",Metaphor?
boarded,verb,2.95e-06,0.9686818419227124,0.000385,,0.832700239357523,John Updike,28,"Rabbit, Run",1960,"truly old stone farmhouse, now boarded up, one of the oldest","truly old stone farmhouse, now taken up, one of the oldest",Metaphor?
retains,verb,4.37e-06,0.9952231874169494,4.68e-05,,0.8886483856797537,John Updike,28,"Rabbit, Run",1960,"is now built on, still retains, behind a shattered and vandalized","is now built on, still keeps, behind a shattered and vandalized",Metaphor?
heap,noun,3.89e-06,0.9977611921890439,1.38e-05,,0.9048796222836395,John Updike,28,"Rabbit, Run",1960,"fence, its yard, a junk heap of brown stalks and eroded","fence, its yard, a junk pile of brown stalks and eroded",Metaphor?
eroded,verb,2.14e-06,0.9744188642579167,0.000224,,0.7884615990993045,John Updike,28,"Rabbit, Run",1960,heap of brown stalks and eroded timber that will in the,heap of brown stalks and bit timber that will in the,Metaphor?
pods,noun,2.82e-06,0.9832966703769065,0.00011,,0.8170329396042637,John Updike,28,"Rabbit, Run",1960,waxy green wands and milky pods of silk seeds and airy,waxy green wands and milky cases of silk seeds and airy,Metaphor?
airy,adjective,1.58e-06,0.9841286736260458,0.000214,,0.8086837405731905,John Updike,28,"Rabbit, Run",1960,pods of silk seeds and airy yellow heads almost liquid with,pods of silk seeds and light yellow heads almost liquid with,Metaphor?
disordered,adjective,9.55e-07,0.9960235578723119,1.02e-05,,0.8618681818169485,John Updike,28,"Rabbit, Run",1960,city tenement misplaced in this disordered alley of backsides and leftovers.,city tenement misplaced in this messy alley of backsides and leftovers.,Metaphor?
backsides,noun,1.35e-07,0.9895577899426876,1.82e-05,,0.888403430907996,John Updike,28,"Rabbit, Run",1960,in this disordered alley of backsides and leftovers. The entrance is,in this disordered alley of rear ends and leftovers. The entrance is,Metaphor?
leftovers,noun,2.4e-06,0.9939420502029996,6.31e-05,,0.8453945772208964,John Updike,28,"Rabbit, Run",1960,disordered alley of backsides and leftovers. The entrance is made ominous,disordered alley of backsides and remains. The entrance is made ominous,Metaphor?
ominous,adjective,2.51e-06,0.9906442493902184,1.55e-05,,0.8809224134437018,John Updike,28,"Rabbit, Run",1960,"leftovers. The entrance is made ominous by a strange sheathing, the","leftovers. The entrance is made threatening by a strange sheathing, the",Metaphor?
sheathing,noun,2.19e-07,0.9726981311626355,3.16e-05,,0.8158611476683623,John Updike,28,"Rabbit, Run",1960,"made ominous by a strange sheathing, the size of an outhouse,","made ominous by a strange facing, the size of an outhouse,",Metaphor?
ousted,verb,1.55e-06,0.9887563843751447,1.58e-05,,0.8639622419541219,John Updike,28,"Rabbit, Run",1960,"Tothero, who before scandal had ousted him from the high school","Tothero, who before scandal had dismissed him from the high school",Metaphor?
manipulated,verb,3.98e-06,0.9769488209829348,7.42e-05,,0.8218343219211539,John Updike,28,"Rabbit, Run",1960,"supposedly and still, they said, manipulated. Rabbit dislikes manipulation but he","supposedly and still, they said, played (upon). Rabbit dislikes manipulation but he",Metaphor?
unused,adjective,4.37e-06,0.9783820992543739,0.000851,,0.8371131875532525,John Updike,28,"Rabbit, Run",1960,a body shop and an unused chicken house. His progress is,a body shop and an off chicken house. His progress is,Metaphor?
skirts,verb,3.72e-06,0.992207089721071,1.82e-05,,0.8180911043265477,John Updike,28,"Rabbit, Run",1960,meet along the highway that skirts the mountain on the south,meet along the highway that borders the mountain on the south,Metaphor?
cemeteries,noun,1.66e-06,0.9881576171681433,1.17e-05,,0.8905893158301059,John Updike,28,"Rabbit, Run",1960,assaulted by gravel pits and cemeteries and new developments but above,assaulted by gravel pits and memorial parks and new developments but above,Metaphor?
penetrated,verb,1.82e-06,0.9810979511376992,5.25e-05,,0.8673255146916049,John Updike,28,"Rabbit, Run",1960,explore. Much of it is penetrated by the sound of cars,explore. Much of it is entered by the sound of cars,Metaphor?
glides,verb,4.79e-07,0.9902310227055331,1.38e-05,,0.8013628325471117,John Updike,28,"Rabbit, Run",1960,"the needle-hushed floor of land glides up and up, on and","the needle-hushed floor of land flows up and up, on and",Metaphor?
softened,verb,1.74e-06,0.9799907744147669,5.13e-05,,0.826914441733357,John Updike,28,"Rabbit, Run",1960,keep out or upon a softened stone-filled cellar pit dug by,keep out or upon a tired stone-filled cellar pit dug by,Metaphor?
cellar,noun,3.98e-06,0.9881481459664473,1.51e-05,,0.9005258693012259,John Updike,28,"Rabbit, Run",1960,or upon a softened stone-filled cellar pit dug by some brave,or upon a softened stone-filled basement pit dug by some brave,Metaphor?
monstrous,adjective,2.57e-06,0.9948228810144921,5.13e-05,,0.8596820495027998,John Updike,28,"Rabbit, Run",1960,"dug by some brave and monstrous settler centuries ago, you become","dug by some brave and terrible settler centuries ago, you become",Metaphor?
settler,noun,1.41e-06,0.9708054249440972,1.48e-05,,0.8496648827718163,John Updike,28,"Rabbit, Run",1960,"by some brave and monstrous settler centuries ago, you become vividly","by some brave and monstrous colonialism centuries ago, you become vividly",Metaphor?
vividly,adverb,1.82e-06,0.9885866918804176,3.16e-05,,0.851197869869355,John Updike,28,"Rabbit, Run",1960,"settler centuries ago, you become vividly frightened, as if this other","settler centuries ago, you become visually frightened, as if this other",Metaphor?
menace,noun,3.47e-06,0.987927823684365,3.98e-05,,0.8985209496022911,John Updike,28,"Rabbit, Run",1960,"attention to yourself, and the menace of the trees will become","attention to yourself, and the threat of the trees will become",Metaphor?
gasp,noun,2.82e-06,0.9789455741498624,3.89e-05,,0.8267010815419706,John Updike,28,"Rabbit, Run",1960,"hunchbacked, until distinctly, with a gasp of the clutch, a near","hunchbacked, until distinctly, with a blow of the clutch, a near",Metaphor?
gears,noun,4.68e-06,0.9905873698018166,0.000138,,0.8378057301707034,John Updike,28,"Rabbit, Run",1960,"clutch, a near car shifts gears, and the stumpy white posts","clutch, a near car shifts stuff, and the stumpy white posts",Metaphor?
dusk,noun,2.75e-06,0.9885803775890999,7.24e-05,,0.877865548003694,John Updike,28,"Rabbit, Run",1960,"cities are. The mountain brings dusk early to the town. Now,","cities are. The mountain brings evening early to the town. Now,",Metaphor?
diagonal,adjective,2.29e-06,0.9792427552106365,2.09e-05,,0.7610280227424405,John Updike,28,"Rabbit, Run",1960,houses and gravel-roofed factories and diagonal hillside streets are in the,houses and gravel-roofed factories and listed hillside streets are in the,Metaphor?
blare,verb,2.45e-07,0.9721864384340859,3.55e-05,,0.8373191008356823,John Updike,28,"Rabbit, Run",1960,"shore, twin rows of ranch-houses blare from their picture windows the","shore, twin rows of ranch-houses noise from their picture windows the",Metaphor?
dim,verb,4.17e-06,0.9924092100986536,0.00011,,0.8501570136246862,John Updike,28,"Rabbit, Run",1960,"suddenly as lamps, these windows dim as the sunlight ebbs, drawing","suddenly as lamps, these windows darken as the sunlight ebbs, drawing",Metaphor?
ebbs,verb,2.45e-07,0.9878297833022961,2.29e-05,,0.7997761870149253,John Updike,28,"Rabbit, Run",1960,"windows dim as the sunlight ebbs, drawing across the development and","windows dim as the sunlight dies away, drawing across the development and",Metaphor?
fenced,verb,1.45e-06,0.9863181128464396,1.35e-05,,0.8620356600933382,John Updike,28,"Rabbit, Run",1960,development and across the tan fenced land waiting for planting and,development and across the tan caged land waiting for planting and,Metaphor?
pasture,noun,2.29e-06,0.9562552959385928,0.000132,,0.7892803547347346,John Updike,28,"Rabbit, Run",1960,distance could be a long pasture except for the yellow beans,distance could be a long range except for the yellow beans,Metaphor?
pauses,verb,1.62e-06,0.9794541971203962,2.88e-05,,0.8678449520731049,John Updike,28,"Rabbit, Run",1960,burns with afternoon pride. Rabbit pauses at the end of the,burns with afternoon pride. Rabbit breaks at the end of the,Metaphor?
wedged,verb,7.94e-07,0.9806345487235,1.07e-05,,0.8357261071317286,John Updike,28,"Rabbit, Run",1960,light and here we sit wedged in. Rabbit stealthily approaches his,light and here we sit crushed in. Rabbit stealthily approaches his,Metaphor?
stealthily,adverb,3.63e-07,0.9889104378533221,8.32e-05,,0.8002057215795529,John Updike,28,"Rabbit, Run",1960,we sit wedged in. Rabbit stealthily approaches his old home on,we sit wedged in. Rabbit secretly approaches his old home on,Metaphor?
prettier,adjective,2.09e-06,0.9927363009004522,5.99e-05,,0.8453942048020399,John Updike,28,"Rabbit, Run",1960,"her daughter Carolyn, who was prettier than you'd think a five-year-old","her daughter Carolyn, who was better-looking than you'd think a five-year-old",Metaphor?
precocious,adjective,7.24e-07,0.9798526419905845,0.000269,,0.8635110242398157,John Updike,28,"Rabbit, Run",1960,"her beauty was not merely precocious but somehow absolutely, apart from","her beauty was not merely early but somehow absolutely, apart from",Metaphor?
cold-blooded,adjective,2.14e-06,0.9563500423914144,0.000339,,0.8000931264943278,John Updike,28,"Rabbit, Run",1960,was true there was something cold-blooded about Carolyn; when she reached,was true there was something hard about Carolyn; when she reached,Metaphor?
protector,noun,4.79e-06,0.9892896928777813,1.82e-05,,0.8979797741525151,John Updike,28,"Rabbit, Run",1960,some fair morning without a protector. But Mom was never proved,some fair morning without a guardian. But Mom was never proved,Metaphor?
vanishing,verb,1.86e-06,0.951094304073775,5.13e-05,,0.852173420054555,John Updike,28,"Rabbit, Run",1960,"Mr. and Mrs. and Carolyn, vanishing in a station wagon while","Mr. and Mrs. and Carolyn, flying in a station wagon while",Metaphor?
inverted,adjective,2.63e-06,0.9779005925034957,0.000112,,0.8173657516394972,John Updike,28,"Rabbit, Run",1960,"then pushed his lawnmower back inverted on his own walk, when","then pushed his lawnmower back turned over on his own walk, when",Metaphor?
mow,verb,1.26e-06,0.9617275711642255,0.000174,,0.8261350838123214,John Updike,28,"Rabbit, Run",1960,let him or his father mow their half for one whole,let him or his father cut their half for one whole,Metaphor?
sunless,adjective,1.95e-07,0.9827726883977406,0.00011,,0.8006740868268181,John Updike,28,"Rabbit, Run",1960,grew knee-high in that little sunless space and stalks of like,grew knee-high in that little dark space and stalks of like,Metaphor?
ordinance,noun,3.98e-06,0.9673922012219238,0.000288,,0.8365742697917072,John Updike,28,"Rabbit, Run",1960,it on account of an ordinance; he was sorry. Harry had,it on account of an law; he was sorry. Harry had,Metaphor?
ordinance,noun,3.98e-06,0.9648420134383265,0.000288,,0.8365742697917072,John Updike,28,"Rabbit, Run",1960,pocket and showed her the ordinance. She still said it was,pocket and showed her the law. She still said it was,Metaphor?
quarrels,noun,6.31e-07,0.9881246175344055,1.55e-05,,0.8837788031014535,John Updike,28,"Rabbit, Run",1960,came back. He dreaded their quarrels: when their faces went angry,came back. He dreaded their fights: when their faces went angry,Metaphor?
drained,verb,4.9e-06,0.9918540203793799,1.2e-05,,0.8793200625658046,John Updike,28,"Rabbit, Run",1960,cutting off air; his strength drained away and he had to,cutting off air; his strength exhausted away and he had to,Metaphor?
treading,verb,7.94e-07,0.9950486917575916,7.24e-05,,0.8428749706916159,John Updike,28,"Rabbit, Run",1960,"slightly precarious to Harry, like treading the top of a wall.","slightly precarious to Harry, like walking the top of a wall.",Metaphor?
receptacles,noun,3.02e-07,0.9876097975213427,1.58e-05,,0.8403586428258987,John Updike,28,"Rabbit, Run",1960,knobs and aluminum cake making receptacles on shelves scalloped with glossy,knobs and aluminum cake making vessels on shelves scalloped with glossy,Metaphor?
leans,verb,1.86e-06,0.9721032452713805,3.8e-05,,0.8342410070368987,John Updike,28,"Rabbit, Run",1960,mother's glasses glitter as she leans in from her place at,mother's glasses glitter as she tips in from her place at,Metaphor?
beak,noun,2e-06,0.9858924950021705,0.000141,,0.7960709782027303,John Updike,28,"Rabbit, Run",1960,"narrowed, her nose a faceted beak, into one wish: that the","narrowed, her nose a faceted bill, into one wish: that the",Metaphor?
blurred,verb,2.95e-06,0.9860300105112799,2.95e-05,,0.8809898118625166,John Updike,28,"Rabbit, Run",1960,"around the table express praise, blurred syllables from his father, piercing","around the table express praise, confusing syllables from his father, piercing",Metaphor?
piercing,adjective,3.72e-06,0.9862741028064463,3.39e-05,,0.7795114201638825,John Updike,28,"Rabbit, Run",1960,"blurred syllables from his father, piercing from his sister, something thin","blurred syllables from his father, loudly from his sister, something thin",Metaphor?
applauding,verb,8.13e-07,0.9704947924565744,9.77e-05,,0.8110847928990814,John Updike,28,"Rabbit, Run",1960,"when his face lapses from applauding his grandson, looks old: tired","when his face lapses from positively his grandson, looks old: tired",Metaphor?
cords,noun,2.24e-06,0.9888619509958476,1.1e-05,,0.8533453649517353,John Updike,28,"Rabbit, Run",1960,throat a loose bundle of cords. The new teeth he got,throat a loose bundle of strings. The new teeth he got,Metaphor?
slender,adjective,3.89e-06,0.9980763382338677,1.12e-05,,0.9130809982775415,John Updike,28,"Rabbit, Run",1960,kid; the reach of her slender white braceleted arm across the,kid; the reach of her slim white braceleted arm across the,Metaphor?
barbaric,adjective,1.86e-06,0.9852481432695269,1.12e-05,,0.8764472447784168,John Updike,28,"Rabbit, Run",1960,the steaming table rings a barbaric chord into the scene. She,the steaming table rings a savage chord into the scene. She,Metaphor?
dips,verb,2e-06,0.9840188010447319,2.14e-05,,0.8516063080246112,John Updike,28,"Rabbit, Run",1960,smile. Nelson's big whorly head dips on its bright neck and,smile. Nelson's big whorly head drops on its bright neck and,Metaphor?
grin,noun,3.89e-06,0.9961158737393921,4.37e-05,,0.9079244442362518,John Updike,28,"Rabbit, Run",1960,Mim's lips leap in a grin that cracks her cautious wised-up,Mim's lips leap in a smile that cracks her cautious wised-up,Metaphor?
coasted,verb,1.86e-07,0.9846872445995225,1.62e-05,,0.8383439829899071,John Updike,28,"Rabbit, Run",1960,tickling his eyes as they coasted down the steep Mt. Judge,tickling his eyes as they rolled down the steep Mt. Judge,Metaphor?
glides,verb,4.79e-07,0.9828751388584916,1.38e-05,,0.8013628325471117,John Updike,28,"Rabbit, Run",1960,"is happier than his, he glides a pace backward over the","is happier than his, he flows a pace backward over the",Metaphor?
haste,noun,2.34e-06,0.9958804779734846,1.38e-05,,0.8833475279179476,John Updike,28,"Rabbit, Run",1960,His acts take on decisive haste. In darkness he goes down,His acts take on decisive hurry. In darkness he goes down,Metaphor?
strides,verb,2.04e-06,0.9859063613316597,2.88e-05,,0.7665967606620027,John Updike,28,"Rabbit, Run",1960,"Joseph Street, runs a block, strides another, and comes within sight","Joseph Street, runs a block, filing another, and comes within sight",Metaphor?
grinning,verb,1.55e-06,0.9918730088713671,1.41e-05,,0.9615963196758415,John Updike,28,"Rabbit, Run",1960,"of his car, its grid grinning at him, parked the wrong","of his car, its grid smiled at him, parked the wrong",Metaphor?
taps,verb,3.63e-06,0.9725060137848334,1.66e-05,,0.8331516762646536,John Updike,28,"Rabbit, Run",1960,side of the street. He taps his pocket and fear hits,side of the street. He beat his pocket and fear hits,Metaphor?
cautiously,adverb,2.09e-06,0.9958249119902931,3.89e-05,,0.9200073863023501,John Updike,28,"Rabbit, Run",1960,is lit up. He moves cautiously in the sweetsmelling shadows under,is lit up. He moves carefully in the sweetsmelling shadows under,Metaphor?
darkened,verb,1.35e-06,0.9985281184213018,0.00011,,0.9115195990734962,John Updike,28,"Rabbit, Run",1960,lady is waiting inside the darkened living-room to tell him what,lady is waiting inside the dark living-room to tell him what,Metaphor?
brittle,adjective,1.91e-06,0.9840808512257735,0.000214,,0.8053217426748475,John Updike,28,"Rabbit, Run",1960,at the pung of the brittle door spring and quickly ducking,at the pung of the short door spring and quickly ducking,Metaphor?
silhouette,noun,2.04e-06,0.9786851298052196,0.000117,,0.834474875562995,John Updike,28,"Rabbit, Run",1960,the ignition key tells in silhouette. Bless that dope. Rabbit slithers,the ignition key tells in figure. Bless that dope. Rabbit slithers,Metaphor?
slamming,verb,2.24e-06,0.9810612130307206,1.58e-05,,0.8368603252837602,John Updike,28,"Rabbit, Run",1960,metal touches metal but not slamming it. The front of the,metal touches metal but not striking it. The front of the,Metaphor?
unlit,adjective,2.75e-07,0.9801445721109218,0.00011,,0.8300602526450519,John Updike,28,"Rabbit, Run",1960,stucco Springer house is still unlit. It reminds him for some,stucco Springer house is still dark. It reminds him for some,Metaphor?
inconvenience,noun,4.9e-06,0.9872811104063711,6.17e-05,,0.862646302501116,John Updike,28,"Rabbit, Run",1960,"to be put to the inconvenience of lying, however plausibly. He","to be put to the trouble of lying, however plausibly. He",Metaphor?
obliquely,adverb,5.01e-07,0.9646714135972934,2.09e-05,,0.7472761383992736,John Updike,28,"Rabbit, Run",1960,"Jackson to where it runs obliquely into Central, which is also","Jackson to where it runs listing into Central, which is also",Metaphor?
hum,noun,3.89e-06,0.9842375856981093,1.12e-05,,0.8247072456140379,John Updike,28,"Rabbit, Run",1960,"on the radio. After a hum a beautiful Negress sings, Without","on the radio. After a buzz a beautiful Negress sings, Without",Metaphor?
glides,verb,4.79e-07,0.9839859255681599,1.7e-05,,0.8224259050595573,John Updike,28,"Rabbit, Run",1960,back of the seat and glides down the twilight pike left-handed.,back of the seat and rolls down the twilight pike left-handed.,Metaphor?
pike,noun,4.79e-06,0.9875418483267162,1.55e-05,,0.8326746109480259,John Updike,28,"Rabbit, Run",1960,and glides down the twilight pike left-handed. A field of corn,and glides down the twilight trace left-handed. A field of corn,Metaphor?
bending,verb,4.79e-06,0.9790221755742432,4.34e-05,,0.8303307294839968,John Updike,28,"Rabbit, Run",1960,of corn the Negress's voice bending dark and warm like the,of corn the Negress's voice fell off dark and warm like the,Metaphor?
dipping,verb,3.02e-06,0.9743778706548387,1.05e-05,,0.8760457987251186,John Updike,28,"Rabbit, Run",1960,the grasses grow the countryside dipping around the road like a,the grasses grow the countryside diving around the road like a,Metaphor?
ecstatically,adverb,1.07e-07,0.9741698712854313,1.07e-05,,0.8288241671405485,John Updike,28,"Rabbit, Run",1960,no how his scalp contracts ecstatically wihithout a. The smell of,no how his scalp contracts elevated wihithout a. The smell of,Metaphor?
lever,noun,4.37e-06,0.9414376432765583,2.75e-05,,0.7872471079458508,John Updike,28,"Rabbit, Run",1960,has come on and he turns the little lever to MOD.,has come on and he turns the little jimmy to MOD.,Metaphor?
